,tweet_text,emotion_in_tweet_is_directed_at,is_there_an_emotion_directed_at_a_brand_or_product,brand,tweet_clean,target
1022,iPad 2 is pretty sick! Almost makes me think I need one! #sxsw,iPad,Positive emotion,Apple,iPad 2 is pretty sick Almost makes me think I need one sxsw,2.0
1023,Google to preview new social network called Circles at SXSW Interactive today - {link} #Google #Social #SXSW #Circles,,No emotion toward brand or product,,Google to preview new social network called Circles at SXSW Interactive today link Google Social SXSW Circles,0.0
1024,Google To Preview Social Networking Platform At #SXSW Conference? {link},,No emotion toward brand or product,,Google To Preview Social Networking Platform At SXSW Conference link,0.0
1025,#technews Privacy Could Headline Google Circles Social... {link} #Tech_News #ACLU #Google_Circles #Social_Network #SXSW #tech,,No emotion toward brand or product,,technews Privacy Could Headline Google Circles Social link Tech News ACLU Google Circles Social Network SXSW tech,0.0
1026,.@mention Problem with Google Living Stories was the process of creating content didn't change - was just an interface. #hacknews #SXSW,Other Google product or service,Negative emotion,Google,Problem with Google Living Stories was the process of creating content didn t change was just an interface hacknews SXSW,1.0
1027,â°Ã·Â¼ We have problemsâ°Ã_TIME TO STOP *******! â°Ã·_ {link} â°Ã£_ #edchat #musedchat #sxsw #sxswi #classical #newTwitter,,No emotion toward brand or product,,We have problems TIME TO STOP link edchat musedchat sxsw sxswi classical newTwitter,0.0
1028,Im in the Q at the Apple pop up store #sxsw with @mention and @mention !! :))  {link},,No emotion toward brand or product,,Im in the Q at the Apple pop up store sxsw with and link,0.0
1029,"Check out Q&amp;A With Google &amp; Bing On Website Ranking at SXSW.
{link} #SXSW #qagb",,No emotion toward brand or product,,Check out Q amp A With Google amp Bing On Website Ranking at SXSW link SXSW qagb,0.0
1030,Check out Q&amp;A With Google &amp; Bing On Website Ranking at SXSW. #SXSW #qagb #sxsma,,No emotion toward brand or product,,Check out Q amp A With Google amp Bing On Website Ranking at SXSW SXSW qagb sxsma,0.0
1031,"â°ÃÃ@mention Qik Video Connect Plus launches today! Get live video chat, video mail, share live video to Twitter and more  #SXSWâ°ÃÂ make it for iPad",,No emotion toward brand or product,,Qik Video Connect Plus launches today Get live video chat video mail share live video to Twitter and more SXSW make it for iPad,0.0
1032,"Ne sapete qualcosa? â°ÃÃ@mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} #sxswâ°ÃÂ",,No emotion toward brand or product,,Ne sapete qualcosa Google to Launch Major New Social Network Called Circles Possibly Today link sxsw,0.0
1033,"if you're racing around #sxsw, you best be fueling up with great local fare
#eatshopaustinapp {link}",,No emotion toward brand or product,,if you re racing around sxsw you best be fueling up with great local fare eatshopaustinapp link,0.0
1034,Now on my radar: Google Circus. RT @mention Google to Launch New Social Network: Circles via @mention {link} #pr  #SXSW,,No emotion toward brand or product,,Now on my radar Google Circus RT Google to Launch New Social Network Circles via link pr SXSW,0.0
1035,BRILLIANT READ: Attention Marketers and Media Professionals: the iPad won't save you by @mention  {link} #usguys #SxSW,,Negative emotion,,BRILLIANT READ Attention Marketers and Media Professionals the iPad won t save you by link usguys SxSW,1.0
1036,"Augmented reality? Pah! Mayer (Google) calls it &quot;contextual discovery&quot; â°ÃÃ doing searches without search, *with users' permission* #sxsw",,No emotion toward brand or product,,Augmented reality Pah Mayer Google calls it quot contextual discovery quot doing searches without search with users permission sxsw,0.0
1037,".@mention Rec: Give the Bad Apple a job in a mtg, such as taking notes. Make mtg voluntary =&gt; willing participants. #gamestorming #sxsw",,No emotion toward brand or product,,Rec Give the Bad Apple a job in a mtg such as taking notes Make mtg voluntary gt willing participants gamestorming sxsw,0.0
1038,Google is reproducing digitally the way you organically consume information. Goggles is the best example of that. #SXSW #MarissaMeyer,Google,Positive emotion,Google,Google is reproducing digitally the way you organically consume information Goggles is the best example of that SXSW MarissaMeyer,2.0
1039,"Future of retail instore = party [goods] up front, biz [inventory ]in the back ala #apple mullet #sxsw #kiosks",,No emotion toward brand or product,,Future of retail instore party goods up front biz inventory in the back ala apple mullet sxsw kiosks,0.0
1040,".@mention retiring from Wine Library TV, moving onto Daily Grape. Get the app on yr iPhone. #thankyouecon #SXSW",iPad or iPhone App,Positive emotion,Apple,retiring from Wine Library TV moving onto Daily Grape Get the app on yr iPhone thankyouecon SXSW,2.0
1041,.@mention reveals average time users spent on NYT's Oscars iPad app was 16mins: &quot;That blew my mind&quot; #newsapps #sxsw,iPad or iPhone App,Positive emotion,Apple,reveals average time users spent on NYT s Oscars iPad app was 16mins quot That blew my mind quot newsapps sxsw,2.0
1042,"They were right, the @mention 3 app on #android is sweeeeet! Nice job by the team there. #sxsw",Android App,Positive emotion,Google,They were right the 3 app on android is sweeeeet Nice job by the team there sxsw,2.0
1043,â°ÃÃ@mention RT @mention - Marissa Mayer: Google Will Connect the Digital &amp; Physical Worlds Through Mobile - {link} #sxswâ°ÃÂ,,No emotion toward brand or product,,RT Marissa Mayer Google Will Connect the Digital amp Physical Worlds Through Mobile link sxsw,0.0
1044,"â°ÃÃ@mention RT @mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} #sxswâ°ÃÂ",,No emotion toward brand or product,,RT Google to Launch Major New Social Network Called Circles Possibly Today link sxsw,0.0
1045,"â°ÃÃ@mention RT @mention Google to Launch New Social Network Called Circles, Possibly Today {link} #sxswâ°ÃÂ Reported on Buzz?",,No emotion toward brand or product,,RT Google to Launch New Social Network Called Circles Possibly Today link sxsw Reported on Buzz,0.0
1046,â°ÃÃ@mention RT @mention We interrupt your regularly scheduled #sxsw geek programming with big news {link}  #google #circlesâ°ÃÂ,,No emotion toward brand or product,,RT We interrupt your regularly scheduled sxsw geek programming with big news link google circles,0.0
1047,@mention  RT @mention Apple store downtown Austin open til Midnight. #sxsw,,No emotion toward brand or product,,RT Apple store downtown Austin open til Midnight sxsw,0.0
1048,@mention  RT @mention Mayer: 20% of Google searches are for local information #SXSW ^pr,,No emotion toward brand or product,,RT Mayer 20 of Google searches are for local information SXSW pr,0.0
1049,"B_social! RT @mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} #sxsw #in",,No emotion toward brand or product,,B social RT Google to Launch Major New Social Network Called Circles Possibly Today link sxsw in,0.0
1050,Congrats! RT @mention Good News! Austin Eats: BBQ for iPhone is now available - {link} #iTunes #Austin #BBQ #SXSW #SXSWi,iPad or iPhone App,Positive emotion,Apple,Congrats RT Good News Austin Eats BBQ for iPhone is now available link iTunes Austin BBQ SXSW SXSWi,2.0
1051,Congrats! RT @mention Just won an awesome iPad from @mention at the #sxswbuffalo lounge! My #sxsw experience is complete! #QuiBidsWin,iPad,Positive emotion,Apple,Congrats RT Just won an awesome iPad from at the sxswbuffalo lounge My sxsw experience is complete QuiBidsWin,2.0
1052,Congrats! RT @mention Yes! Gowalla wins best Andoid app at the Team Android Choice Awards. Thanks all! #sxsw,Android App,Positive emotion,Google,Congrats RT Yes Gowalla wins best Andoid app at the Team Android Choice Awards Thanks all sxsw,2.0
1053,"eh there? RT @mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} #sxsw",,No emotion toward brand or product,,eh there RT Google to Launch Major New Social Network Called Circles Possibly Today link sxsw,0.0
1054,I like it RT @mention @mention &quot;Google before you tweet&quot; is the new &quot;think before you speak.&quot; - Mark Belinsky #911tweets panel #SXSW.,Google,Positive emotion,Google,I like it RT quot Google before you tweet quot is the new quot think before you speak quot Mark Belinsky 911tweets panel SXSW,2.0
1055,"L.A.M.E.  RT @mention &quot;...by the law of averages, better than Buzz&quot; RT @mention &quot;Google Circles will be ______ &quot;  #sxsw",Other Google product or service,Negative emotion,Google,L A M E RT quot by the law of averages better than Buzz quot RT quot Google Circles will be quot sxsw,1.0
1056,Love it . RT @mention From #Apple to Naomi Campbell: pop-up stores are all the rage: {link} #sxsw,Apple,Positive emotion,Apple,Love it RT From Apple to Naomi Campbell pop up stores are all the rage link sxsw,2.0
1057,"Love you! RT @mention en route to austin, tx for #sxsw accompanied by fedoras + instruments + weird haircuts + apple products",,No emotion toward brand or product,,Love you RT en route to austin tx for sxsw accompanied by fedoras instruments weird haircuts apple products,0.0
1058,"OOOOrkut? RT @mention RT @mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} #sxsw",,No emotion toward brand or product,,OOOOrkut RT RT Google to Launch Major New Social Network Called Circles Possibly Today link sxsw,0.0
1059,Shut. Up. RT @mention It's not a rumor: Apple is opening a temp store in downtown Austin for #SXSW &amp; the iPad 2 launch. {link},,No emotion toward brand or product,,Shut Up RT It s not a rumor Apple is opening a temp store in downtown Austin for SXSW amp the iPad 2 launch link,0.0
1060,Too late? RT @mention #google to launch a #socialnetwork at #sxsw today? #SocialMedia #fb,,No emotion toward brand or product,,Too late RT google to launch a socialnetwork at sxsw today SocialMedia fb,0.0
1061,Yen only? RT @mention VERY IMPORTANT: Make sure you are donating to the JAPANESE Red Cross: {link} #sxswcares #sxsw #quake,,No emotion toward brand or product,,Yen only RT VERY IMPORTANT Make sure you are donating to the JAPANESE Red Cross link sxswcares sxsw quake,0.0
1062,New #SXSW rule: no more ooing and ahing over your new iPad. We get it. Its not a big deal. Everybody has one now... :-),iPad,Negative emotion,Apple,New SXSW rule no more ooing and ahing over your new iPad We get it Its not a big deal Everybody has one now,1.0
1063,"#sxsw hot rumor about Google's new social network &quot;Google Circles&quot; {link} (photo, video, status sharing)",,Positive emotion,,sxsw hot rumor about Google s new social network quot Google Circles quot link photo video status sharing,2.0
1064,Guess the rumors were wrong â°ÃÃ@mention We're not launching any products at #SXSW but we're doing plenty else. {link},,No emotion toward brand or product,,Guess the rumors were wrong We re not launching any products at SXSW but we re doing plenty else link,0.0
1065,google is saving users 2 years of time with gps navigation using alternate routes w traffic #sxsw,Google,Positive emotion,Google,google is saving users 2 years of time with gps navigation using alternate routes w traffic sxsw,2.0
1066,Wow. Just saw someone using a computing device other than a Mac or an iPad here at #sxsw A rare sighting indeed.,,Positive emotion,,Wow Just saw someone using a computing device other than a Mac or an iPad here at sxsw A rare sighting indeed,2.0
1067,@mention  Saw u r going to #SXSW. Dwnld #GroundLink app &amp; ride for $10 in Austin during SXSW i{link} see us booth 437,,No emotion toward brand or product,,Saw u r going to SXSW Dwnld GroundLink app amp ride for 10 in Austin during SXSW i link see us booth 437,0.0
1068,@mention  Saw u r going to #SXSW. Dwnld #GroundLink app &amp; ride for $10 in Austin during SXSWi{link} see us booth 437,,No emotion toward brand or product,,Saw u r going to SXSW Dwnld GroundLink app amp ride for 10 in Austin during SXSWi link see us booth 437,0.0
1070,My iPhone says it can't connect to the Internet even though #sxsw wifi works great on my computer. Any suggestions?,,Negative emotion,,My iPhone says it can t connect to the Internet even though sxsw wifi works great on my computer Any suggestions,1.0
1071,#sxsw app schedule #fail try sched.org - google: sched sxsw 2011 click first link. All the unofficial parties and room counts. Genius.,,No emotion toward brand or product,,sxsw app schedule fail try sched org google sched sxsw 2011 click first link All the unofficial parties and room counts Genius,0.0
1072,I current screen in my browser is &quot;Upload an Application&quot; #android #lmndst #startupbus #sxsw,,No emotion toward brand or product,,I current screen in my browser is quot Upload an Application quot android lmndst startupbus sxsw,0.0
1073,grabbed a seat in ballroom d to hear @mention from Google #SXSW,Google,Positive emotion,Google,grabbed a seat in ballroom d to hear from Google SXSW,2.0
1074,"Expect to see several NFC  trials this yr, Google &amp; Android working w/ @mention #virtualwallet #digitalID #sxsw",,No emotion toward brand or product,,Expect to see several NFC trials this yr Google amp Android working w virtualwallet digitalID sxsw,0.0
1075,"Ok,I have seen two impressive lines since I'm at #SXSW  the one at the Apple Store yesterday. &amp; the @mention party now cc @mention",Apple,Positive emotion,Apple,Ok I have seen two impressive lines since I m at SXSW the one at the Apple Store yesterday amp the party now cc,2.0
1076,"*Spark is selected as a finalist in Team Android Choice awards! If you're in Austin 3/13, please come &amp; support {link} #sxsw",,No emotion toward brand or product,,Spark is selected as a finalist in Team Android Choice awards If you re in Austin 3 13 please come amp support link sxsw,0.0
1077,"#Apple is setting up a pop-up store in downtown Austin (to sell bajillions of iPad2s to #sxsw attendees, of course!) {link}",Apple,Positive emotion,Apple,Apple is setting up a pop up store in downtown Austin to sell bajillions of iPad2s to sxsw attendees of course link,2.0
1078,Google is setting up a bunch of computers at their #SXSW trade show exhibit. Premiere of Google Circles? {link},,No emotion toward brand or product,,Google is setting up a bunch of computers at their SXSW trade show exhibit Premiere of Google Circles link,0.0
1079,I've seen several people working on iPad 2s at #SXSW today.,,No emotion toward brand or product,,I ve seen several people working on iPad 2s at SXSW today,0.0
1080,There's a short line building at the flash Apple store downtown. People want their new iPads. #SXSW,,No emotion toward brand or product,,There s a short line building at the flash Apple store downtown People want their new iPads SXSW,0.0
1081,C40: Nice Shot {link} [codes valid: 8:00-11:59:59p 03/14/11] #infektd #sxsw #cvdc,,No emotion toward brand or product,,C40 Nice Shot link codes valid 8 00 11 59 59p 03 14 11 infektd sxsw cvdc,0.0
1082,exclusive shot of #SXSW popup Apple Store! {link},Apple,Positive emotion,Apple,exclusive shot of SXSW popup Apple Store link,2.0
1083,"I guess i should say I told you so!
Apple is opening up a temporary store in downtown Austin for #SXSW &amp; iPad 2 launch {link}",,No emotion toward brand or product,,I guess i should say I told you so Apple is opening up a temporary store in downtown Austin for SXSW amp iPad 2 launch link,0.0
1084,#ipad art show at @mention just in time for #sxsw check it out you interactive fools,iPad,Positive emotion,Apple,ipad art show at just in time for sxsw check it out you interactive fools,2.0
1085,"Mayer now showcasing 'Google Places with Hotpot', a restaurants-rating tool. Hello, mobile advertising/check-ins push. #sxsw",,No emotion toward brand or product,,Mayer now showcasing Google Places with Hotpot a restaurants rating tool Hello mobile advertising check ins push sxsw,0.0
1086,"Danger of sitting on floor and charging your laptop, iPod, iPhone, etc is the dreaded &quot;dead butt&quot;. Damn those tingles. #sxsw #SXnewworlds",,No emotion toward brand or product,,Danger of sitting on floor and charging your laptop iPod iPhone etc is the dreaded quot dead butt quot Damn those tingles sxsw SXnewworlds,0.0
1088,â°ÃÃ@mention So @mention just spilled the beans: next platform for Flipboard is the iPhone. Team started working on it. #sxflip #SXSW #SXSWiâ°ÃÂ,,No emotion toward brand or product,,So just spilled the beans next platform for Flipboard is the iPhone Team started working on it sxflip SXSW SXSWi,0.0
1089,â°ÃÃ@mention So @mention just spilled the beans: next platform for Flipboard is the iPhone. Team started working on it. #sxflip #SXSW #SXSWiâ°ÃÂ Gr8!,,Positive emotion,,So just spilled the beans next platform for Flipboard is the iPhone Team started working on it sxflip SXSW SXSWi Gr8,2.0
1090,@mention  so #jealous of you. #sxsw &amp; you have the new iPad?!,iPad,Positive emotion,Apple,so jealous of you sxsw amp you have the new iPad,2.0
1091,Impressed so far with the iPad 2's slim form and &quot;instant on&quot;-ness that I've seen. Haven't tried one myself yet. #sxsw #sxswi,iPad,Positive emotion,Apple,Impressed so far with the iPad 2 s slim form and quot instant on quot ness that I ve seen Haven t tried one myself yet sxsw sxswi,2.0
1092,There are so many ppl w/ Apple products at #SXSW - I think my head is about to explode! (this message brought to you via iPhone),,Positive emotion,,There are so many ppl w Apple products at SXSW I think my head is about to explode this message brought to you via iPhone,2.0
1093,#apple is so smart to open a Pop-Up store in #Austin while #sxsw crowd's there.,Apple,Positive emotion,Apple,apple is so smart to open a Pop Up store in Austin while sxsw crowd s there,2.0
1094,@mention  So u r coming #sxsw :)  Dwnld #GroundLink app &amp; ride for $10 in Austin during SXSWi{link} see us booth 437,,No emotion toward brand or product,,So u r coming sxsw Dwnld GroundLink app amp ride for 10 in Austin during SXSWi link see us booth 437,0.0
1095,Q: Why do social sites like Delicious often have better results than Google or Bing? #qagb #sxsw,Google,Negative emotion,Google,Q Why do social sites like Delicious often have better results than Google or Bing qagb sxsw,1.0
1096,iPad 2 is sold-out and 70% were 1st time users #sxsw,iPad,Positive emotion,Apple,iPad 2 is sold out and 70 were 1st time users sxsw,2.0
1097,We've got some exciting things that we'll be showing off at #SXSW this year: including drag and drop store management on your iPhone,iPhone,Positive emotion,Apple,We ve got some exciting things that we ll be showing off at SXSW this year including drag and drop store management on your iPhone,2.0
1098,Wonder if some geeks have Google's Marissa Mayer's poster on their walls? #SXSW,,No emotion toward brand or product,,Wonder if some geeks have Google s Marissa Mayer s poster on their walls SXSW,0.0
1099,Talked to some great developers at the Android meetup. Looking forward to working with them. #sxsw #android #androidsxsw,Android,Positive emotion,Google,Talked to some great developers at the Android meetup Looking forward to working with them sxsw android androidsxsw,2.0
1100,so we had some information from @mention this morning that an apple store is getting build at #sxsw for two weeks.  ipad2 love? - jealous!,Apple,Positive emotion,Apple,so we had some information from this morning that an apple store is getting build at sxsw for two weeks ipad2 love jealous,2.0
1101,I've seen some of the best iPad cases ever here at #sxsw - I'm starting to transfer a bit of my book fetishism to iPads slowly but surely.,iPad,Positive emotion,Apple,I ve seen some of the best iPad cases ever here at sxsw I m starting to transfer a bit of my book fetishism to iPads slowly but surely,2.0
1102,the #iPad spambots are ramping up #ipad2 #apple #free #offers #sxsw #spammers #goaway,,No emotion toward brand or product,,the iPad spambots are ramping up ipad2 apple free offers sxsw spammers goaway,0.0
1103,â°ÃÃ@mention Spotted at #SXSW: Man in need of an iPad (2?) â°ÃÃ {link} #sxswiâ°ÃÂ man in need should go to SXSW apple store,iPad,Positive emotion,Apple,Spotted at SXSW Man in need of an iPad 2 link sxswi man in need should go to SXSW apple store,2.0
1104,I need to start downloading more apps on my iPad and play with them for inspiration. What are your favorites? #UXDes #sxsw,,No emotion toward brand or product,,I need to start downloading more apps on my iPad and play with them for inspiration What are your favorites UXDes sxsw,0.0
1105,They just started bringing out the crowd baracades at the #sxsw PopUp Apple Store.  {link},,No emotion toward brand or product,,They just started bringing out the crowd baracades at the sxsw PopUp Apple Store link,0.0
1106,The queue starts early at the #sxsw Apple pop-up shop: {link},,No emotion toward brand or product,,The queue starts early at the sxsw Apple pop up shop link,0.0
1107,Check out Staying Alive: Can Indie iPhone Game Development Survive? at #SXSW #StayingAlive,,No emotion toward brand or product,,Check out Staying Alive Can Indie iPhone Game Development Survive at SXSW StayingAlive,0.0
1108,"There are still iPad 2s to be had, at least at the #sxsw pop-up Apple store. @mention just bought one.",iPad,Positive emotion,Apple,There are still iPad 2s to be had at least at the sxsw pop up Apple store just bought one,2.0
1109,â°ÃÃ@mention Stop by and let us make you a custom iPhone case! #zazzlesxsw #Sxsw #sxswi {link}  {link},,No emotion toward brand or product,,Stop by and let us make you a custom iPhone case zazzlesxsw Sxsw sxswi link link,0.0
1110,the apple store at #sxsw is almost sell out...,,No emotion toward brand or product,,the apple store at sxsw is almost sell out,0.0
1111,The Apple store in austin and 100 people taking a pic of it. #ipad2 #sxsw {link},Apple,Positive emotion,Apple,The Apple store in austin and 100 people taking a pic of it ipad2 sxsw link,2.0
1112,"Oh, Apple Store...you look so at home here in downtown Austin #SXSW #sxtxstate @mention Apple Store, SXSW {link} #photo",Apple,Positive emotion,Apple,Oh Apple Store you look so at home here in downtown Austin SXSW sxtxstate Apple Store SXSW link photo,2.0
1113,They'd be stupid not to. // Apple is opening a temporary store in Austin for #SXSW &amp; the iPad 2 launch {link} (via @mention,Apple,Positive emotion,Apple,They d be stupid not to Apple is opening a temporary store in Austin for SXSW amp the iPad 2 launch link via,2.0
1114,Great new support for web fonts @mention here at #SXSW #google,Other Google product or service,Positive emotion,Google,Great new support for web fonts here at SXSW google,2.0
1115,So  #sxsw supposedly has a mobile apple store that will pop up and open at 3 ish?,,No emotion toward brand or product,,So sxsw supposedly has a mobile apple store that will pop up and open at 3 ish,0.0
1116,Just what sxsw needed. More lines! Apple to open temporary store in downtown Austin for #SXSW and the iPad 2 launch bit.ly/g03MZB,,No emotion toward brand or product,,Just what sxsw needed More lines Apple to open temporary store in downtown Austin for SXSW and the iPad 2 launch bit ly g03MZB,0.0
1117,â°ÃÃ@mention SXSW official iPhone app here: {link}  Enjoy!  #SXSW,,No emotion toward brand or product,,SXSW official iPhone app here link Enjoy SXSW,0.0
1118,"{link} At SXSW, Apple schools the marketing experts #sxsw",Apple,Positive emotion,Apple,link At SXSW Apple schools the marketing experts sxsw,2.0
1119,Can't get SXSW? Download 20+ FREE tracks from the  #SXSW Music Sampler available on the @mention store today! {link},,No emotion toward brand or product,,Can t get SXSW Download 20 FREE tracks from the SXSW Music Sampler available on the store today link,0.0
1120,The great talk of @mention must be the only one at #SXSW that didn't mention Apple!,Apple,Positive emotion,Apple,The great talk of must be the only one at SXSW that didn t mention Apple,2.0
1121,Catch our talk on Text-To-Speech for Android &amp; Chrome at The League of Extraordinary Hackers. {link} #SXSW,,No emotion toward brand or product,,Catch our talk on Text To Speech for Android amp Chrome at The League of Extraordinary Hackers link SXSW,0.0
1122,"You guys, tall-tee iPad hoodies are IN at #sxsw  you heard it here first!  {link}",,No emotion toward brand or product,,You guys tall tee iPad hoodies are IN at sxsw you heard it here first link,0.0
1123,.@mention Team Android at #SXSW party details {link} &lt;---Note video of @mention showing how close Rainey St is to ACC,,No emotion toward brand or product,,Team Android at SXSW party details link lt Note video of showing how close Rainey St is to ACC,0.0
1124,There's a temporary SXSW Apple store in Austin. True. Let it sink in. #corporate #hipster #SXSW,,No emotion toward brand or product,,There s a temporary SXSW Apple store in Austin True Let it sink in corporate hipster SXSW,0.0
1125,"Just read that #apple will be at #SXSW selling iPad 2 on release day. Good lord, the vortex of smugness that day may be unbearable.",Apple,Negative emotion,Apple,Just read that apple will be at SXSW selling iPad 2 on release day Good lord the vortex of smugness that day may be unbearable,1.0
1126,need: app that alerts me of more #iPads in Palo Alto.  i'm convinced that #Apple shipped the majority of them to the pop-up store at #SXSW,,No emotion toward brand or product,,need app that alerts me of more iPads in Palo Alto i m convinced that Apple shipped the majority of them to the pop up store at SXSW,0.0
1127,For those that can't wait. 6th and Congress get ur iPad 2. RT @mention Apple Opening Pop-Up Store In Austin For #SXSW tcrn.ch/eB5fjs,,No emotion toward brand or product,,For those that can t wait 6th and Congress get ur iPad 2 RT Apple Opening Pop Up Store In Austin For SXSW tcrn ch eB5fjs,0.0
1128,Is it bad that I just want to go home and read my Google Reader feed? #geek #sxsw,Other Google product or service,Positive emotion,Google,Is it bad that I just want to go home and read my Google Reader feed geek sxsw,2.0
1129,"Actually, that's 150m of Google Maps on mobile â°ÃÃ not including desktop #sxsw",,No emotion toward brand or product,,Actually that s 150m of Google Maps on mobile not including desktop sxsw,0.0
1130,hahahahah that's funny RT @mention Never seen so many heads turn at one point. Someone from #Apple asks a question to Reid Hoffman #SXSW,,No emotion toward brand or product,,hahahahah that s funny RT Never seen so many heads turn at one point Someone from Apple asks a question to Reid Hoffman SXSW,0.0
1131,Anyone at the @mention @mention show have an iPhone charger? Need to tweet jokes about beards/text ppl to make them jealous. #sxsw,,No emotion toward brand or product,,Anyone at the show have an iPhone charger Need to tweet jokes about beards text ppl to make them jealous sxsw,0.0
1132,Attending the @mention party at #SXSW with some very interested people!!!! #wiiings,,No emotion toward brand or product,,Attending the party at SXSW with some very interested people wiiings,0.0
1133,Check out the @mention Route {link} ; RSVP here -&gt; https://www.facebook.com/event.php?eid=141164002609303 #sxswi #sxsw,,No emotion toward brand or product,,Check out the Route link RSVP here gt sxswi sxsw,0.0
1134,Following the @mention #leanUX panel from #sxsw on Realtime on Google Docs {link} thanks to @mention,,No emotion toward brand or product,,Following the leanUX panel from sxsw on Realtime on Google Docs link thanks to,0.0
1135,Pre-order the @mention 'Humorous To Bees' LP on @mention Catch them this month @mention {link} #sxsw,,No emotion toward brand or product,,Pre order the Humorous To Bees LP on Catch them this month link sxsw,0.0
1136,Pre-order the @mention 'Humorous To Bees' LP on @mention Catch them this month @mention &amp; @mention {link} #sxsw,,No emotion toward brand or product,,Pre order the Humorous To Bees LP on Catch them this month amp link sxsw,0.0
1137,Unveiling the @mention pop-up store #sxsw {link},,No emotion toward brand or product,,Unveiling the pop up store sxsw link,0.0
1138,For being the &quot;interactive&quot; portion of #sxsw people sure aren't interacting much #iPhone #iStoned #tweetaholic #tech #tweetanonymous #addict,,No emotion toward brand or product,,For being the quot interactive quot portion of sxsw people sure aren t interacting much iPhone iStoned tweetaholic tech tweetanonymous addict,0.0
1139,Pics from the #apple #ipad2 line at #SXSW #fb  {link} {link} http://t.co/26SVO3m,,No emotion toward brand or product,,Pics from the apple ipad2 line at SXSW fb link link,0.0
1140,Check out the #dokobots game from @mention for iPhone and Android.  Seems pretty cool. #geogames #SXSW #tmsxsw,iPad or iPhone App,Positive emotion,Apple,Check out the dokobots game from for iPhone and Android Seems pretty cool geogames SXSW tmsxsw,2.0
1141,Holy crap the #SXSW 2011 showcase torrents are up already &lt;3 {link},,No emotion toward brand or product,,Holy crap the SXSW 2011 showcase torrents are up already lt 3 link,0.0
1142,â°ÃÃ@mention The 10 most dangerous IPhone apps. {link}  @mention,,No emotion toward brand or product,,The 10 most dangerous IPhone apps link,0.0
1143,â°ÃÃ@mention The 10 most dangerous IPhone apps. #sxsw {link},iPad or iPhone App,Negative emotion,Apple,The 10 most dangerous IPhone apps sxsw link,1.0
1144,Word from the austin apple pop up store setup crew is 5pm tom open. Ill be there #sxsw,,No emotion toward brand or product,,Word from the austin apple pop up store setup crew is 5pm tom open Ill be there sxsw,0.0
1145,View from the back of the line to get into League of Extraordinary Hackers #google event #SXSW {link},,No emotion toward brand or product,,View from the back of the line to get into League of Extraordinary Hackers google event SXSW link,0.0
1146,Hopefully the best thing that comes from #SXSW isn't the fact people flew to Austin to pick up an iPad.,iPad,Positive emotion,Apple,Hopefully the best thing that comes from SXSW isn t the fact people flew to Austin to pick up an iPad,2.0
1147,So what's the best #SXSW Mobile App (Android!) App to make the panel and party agenda. Offline use get a +,,No emotion toward brand or product,,So what s the best SXSW Mobile App Android App to make the panel and party agenda Offline use get a,0.0
1148,Following the Bing/Google SEO session #qagb at #SXSW and my buddy @mention #seo,,No emotion toward brand or product,,Following the Bing Google SEO session qagb at SXSW and my buddy seo,0.0
1149,Following the buzz? (Hee hee) - Google drip feeding information about Facebook rival: #circles #sxsw,,No emotion toward brand or product,,Following the buzz Hee hee Google drip feeding information about Facebook rival circles sxsw,0.0
1150,Phrase of the day iPhone ready android coming #sxsw,,No emotion toward brand or product,,Phrase of the day iPhone ready android coming sxsw,0.0
1151,"Goals for the day:  Knock out Government talks, Install Android SDK,  &amp; pray that the #Sencha/#PhoneGap workshop does #Android too #SXSW",,No emotion toward brand or product,,Goals for the day Knock out Government talks Install Android SDK amp pray that the Sencha PhoneGap workshop does Android too SXSW,0.0
1152,First day the exhibit hall is open at #SXSW! Stop by the #EMC booth to enter to win an iPad 2! @mention @mention,iPad,Positive emotion,Apple,First day the exhibit hall is open at SXSW Stop by the EMC booth to enter to win an iPad 2,2.0
1153,Check out the FREE @mention Sampler on iTunes! {link} #SXSW,,No emotion toward brand or product,,Check out the FREE Sampler on iTunes link SXSW,0.0
1154,Check out the FREE SXSW Sampler on iTunes! {link} #SXSW,Other Apple product or service,Positive emotion,Apple,Check out the FREE SXSW Sampler on iTunes link SXSW,2.0
1155,Audioboo: The front of the Apple iPad 2 queue {link} #sxsw #sxswsa #apple #ipad2 #Austin #Texas,,No emotion toward brand or product,,Audioboo The front of the Apple iPad 2 queue link sxsw sxswsa apple ipad2 Austin Texas,0.0
1156,Following the Google/Bing QA session at #SXSW.  Great insights for webmasters #qagb,Google,Positive emotion,Google,Following the Google Bing QA session at SXSW Great insights for webmasters qagb,2.0
1157,"Oh, 'ware the Ides of March.  Location: {link}  #sxsw",,No emotion toward brand or product,,Oh ware the Ides of March Location link sxsw,0.0
1158,.@mention the iPad DJ is setting up at @mention #sxsw,,No emotion toward brand or product,,the iPad DJ is setting up at sxsw,0.0
1159,â°ÃÃ@mention The iPad 2 Takes Over #SXSW [VIDEO]: {link} via Mashableâ°ÃÂ,,No emotion toward brand or product,,The iPad 2 Takes Over SXSW VIDEO link via Mashable,0.0
